GeneId,Prediction
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
